"Howwasyafternoonanyway?","How was your afternoon anyway?"
"Didyoucatchthegamelastnight?","Did you catch the game last night?"
"Wannagrabcoffeetomorrow?","Wanna grab coffee tomorrow?"
"ImdyingsomeonecancellsoIcandogsitter!","I'm dying someone cancels so I can dog sitter!"
"Hahahahahahahathats hilarious!","Hahaha that's hilarious!"
"OMGyouneedtoseethelatestmeme!","OMG you need to see the latest meme!"
"Seriouslythisweatherissocrazy!","Seriously, this weather is so crazy!"
"Whatchauptomefriend?","What's up to me friend?"
"Feelingburntoutaftettodayhelp!","Feeling burnt out after today, help!"
"Guesswhosingleagain!","Guess who's single again!"
"Youwontyoubelievewhatjusthappened!","You won't you believe what just happened!"
"Moviemarathonatmyplacethisweekend?","Movie marathon at my place this weekend?"
"Needstudymotivationanyideas?","Need study motivation, any ideas?"
"Sostressedaboutthispresentation!","So stressed about this presentation!"
"Finallyfinishedthatbookyourecommended!","Finally finished that book you recommended!"
"Anygoodshowsbingeablelately?","Any good shows bingeable lately?"
"Justsawthecraziestthingonthebus!","Just saw the craziest thing on the bus!"
"Sendhelpfoodistrappedintheoven!","Send help, food is trapped in the oven!"
"Cantwaittoseeyouattheparty!","Can't wait to see you at the party!"
"Missyoutonsalreadyletshangsoon!","Miss you tons already, let's hang soon!"
"CantbelieveImissedthelastbus!","Can't believe I missed the last bus!"
"Needanysuggestionsforagoodmovieatnight?","Need any suggestions for a good movie at night?"
"Feelingproudaccomplishedsomethingbigtoday!","Feeling proud, accomplished something big today!"
"Wishcouldteleportmyselftothebeachrightnow.","Wish could teleport myself to the beach right now."
"Justsawthecutestaudiofapuppylearningtotalk.","Just saw the cutest audio of a puppy learning to talk."
"Excitedtostartafreshnewprojectthistoday.","Excited to start a fresh new project this today."
"Havingtroubledecidingwhichoptionistobetter.","Having trouble deciding which option is to better."
"Finallyfinishedorganizingmyclosetfeelsamazing!","Finally finished organizing my closet, feels amazing!"
"Learnedsomethingnewtodayitssoneversadtoolate!","Learned something new today, it's never too late!"
"Cravingapizzabuttryingtoresisttemptation.","Craving a pizza but trying to resist temptation."
"Planningweekendgettogetheranyonesinterested?","Planning weekend get together, anyone's interested?"
"Canwaittousethisnewlyacquiredskillsoon.","Can't wait to use this newly acquired skill soon."
"Feelinggratefulforallofthesupportivepeopleinmylife.","Feeling grateful for all of the supportive people in my life."
"Whatshappeningonthelatestseasonofyourfavoriteshow?","What's happening on the latest season of your favorite show?"
"Anyoneelseafraidofthedarkadmitnojudgement.","Anyone else afraid of the dark? Admit, no judgement."
"Justreadafascinatingarticleaboutancientcivilizations.","Just read a fascinating article about ancient civilizations."
"Feelingaccomplishedcrossedofeverythingontmylisttoday.","Feeling accomplished, crossed off everything on my list today."
"Strugglingtofindmotivationanyadviceisappreciated.","Struggling to find motivation, any advice is appreciated."
"Cantw waittoseeyouagainletsmakesoonplans!","Can't wait to see you again, let's make plans soon!"
